"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-30","4.25",,"0.00","0.0","0.0",,"38","25",,"   40","   20","13.0","17.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-31","3.80",,"0.02","0.0","0.0",,"44","33",,"  110","  130","8.1","11.0","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-01","2.01",,"0.00","0.0","0.0",,"43","37",,"  300","  300","8.1","10.1","    1",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-02","4.92",,"0.07","0.0","0.0",,"45","35",,"  230","  240","18.1","27.1","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-03","5.59",,"0.00","0.0","0.0",,"57","37",,"  250","  260","14.1","18.1","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-04","3.36",,"0.00","0.0","0.0",,"61","43",,"  230","  240","8.9","15.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-05","5.82",,"0.00","0.0","0.0",,"55","39",,"  360","   20","14.1","19.9","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-06","6.93",,"0.51","0.0","0.0",,"41","35",,"   60","   40","15.0","19.0","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-07","9.62",,"0.25","0.0","0.0",,"56","33",,"  280","  290","23.9","46.1","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-08","7.38",,"0.00","0.0","0.0",,"41","30",,"  290","  270","18.1","28.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-09","5.82",,"0.00","0.0","0.0",,"44","31",,"  250","  250","13.0","19.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-10","6.26",,"0.37","0.0","0.0",,"47","42",,"  230","  240","14.1","23.0","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-11","3.58",,"0.28","0.0","0.0",,"48","43",,"  300","  300","14.1","21.0","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-12","5.37",,"0.13","0.0","0.0",,"46","37",,"  300","  300","16.1","27.1","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-13","4.25",,"0.39","0.0","0.0",,"44","37",,"  290","  280","14.1","25.1","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-14","7.38",,"0.00","0.0","0.0",,"40","18",,"  300","  300","19.9","32.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-15","4.92",,"0.00","0.0","0.0",,"31","14",,"  220","  240","17.0","23.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-16","5.59",,"0.00","0.0","0.0",,"44","30",,"  220","  220","15.0","23.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-17","5.14",,"0.00","0.0","0.0",,"51","38",,"   50","   50","17.0","27.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-18","6.26",,"0.00","0.0","0.0",,"47","38",,"   80","  100","15.0","21.0","    1",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-19","7.38",,"0.00","0.0","0.0",,"48","32",,"  300","  310","17.0","27.1","    1",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-20","5.82",,"0.00","0.0","0.0",,"35","26",,"  260","  340","15.0","21.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-21","5.37",,"0.00","0.0","0.0",,"35","20",,"  350","  330","15.0","21.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-22","6.26",,"0.00","0.0","0.0",,"50","30",,"  240","  220","14.1","23.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-23","4.47",,"0.00","0.0","0.0",,"56","39",,"  230","  230","13.0","19.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-24","2.91",,"0.00","0.0","0.0",,"62","41",,"  140","  140","12.1","15.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-25","3.80",,"0.14","0.0","0.0",,"53","46",,"   60","  220","12.1","17.0","    1",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-26","7.16",,"0.00","0.0","0.0",,"48","43",,"  100","  120","14.1","23.0","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-27","12.75",,"0.40","0.0","0.0",,"43","31",,"  280","  290","28.0","44.1","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-28","9.84",,"0.00","0.0","0.0",,"42","29",,"  270","  230","21.0","34.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-29","8.72",,"0.00","0.0","0.0",,"35","25",,"  300","  330","18.1","30.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-01","6.04",,"0.00","0.0","0.0",,"44","25",,"  280","  270","15.0","25.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-02","6.49",,"0.00","0.0","0.0",,"58","40",,"  220","  220","15.0","23.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-03","6.04",,"0.26","0.0","0.0",,"59","49",,"  260","  280","19.9","32.0","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-04","10.29",,"0.00","0.0","0.0",,"56","45",,"  280","  280","21.9","35.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-05","5.37",,"0.00","0.0","0.0",,"51","39",,"  300","  310","15.0","23.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-06","7.61",,"0.37","0.0","0.0",,"45","37",,"   30","   30","17.0","29.1","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-07","7.61",,"0.00","0.0","0.0",,"48","36",,"   20","   10","17.0","28.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-08","6.71",,"0.00","0.0","0.0",,"59","35",,"  240","  240","15.0","23.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-09","7.38",,"0.00","0.0","0.0",,"72","47",,"  240","  230","15.0","28.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-10","7.61",,"0.00","0.0","0.0",,"65","54",,"  240","  240","17.0","27.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-11","4.70",,"0.00","0.0","0.0",,"57","43",,"  310","  310","17.0","25.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-12","5.14",,"0.03","0.0","0.0",,"50","43",,"   60","   50","12.1","16.1","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-13","8.72",,"0.26","0.0","0.0",,"70","45",,"  250","  260","21.0","33.1","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-14","7.38",,"0.00","0.0","0.0",,"57","43",,"  300","  310","18.1","30.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-15","6.26",,"0.00","0.0","0.0",,"54","40",,"   30","   20","15.0","21.9",,,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-16","8.95",,"0.00","0.0","0.0",,"45","33",,"   40","   40","16.1","25.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-17","4.25",,"0.16","0.0","0.0",,"54","41",,"  260","  250","14.1","21.0","    1",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-18","4.47",,"0.00","0.0","0.0",,"54","41",,"  140","  150","13.0","19.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-19","4.70",,"0.93","0.0","0.0",,"52","41",,"   70","   60","16.1","21.0","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-20","5.82",,"0.00","0.0","0.0",,"77","47",,"  280","  250","18.1","34.0","    1",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-21","7.83",,"0.00","0.0","0.0",,"65","40",,"   40","   50","16.1","23.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-22","10.07",,"0.00","0.0","0.0",,"45","33",,"   50","   20","17.0","25.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-23","9.17",,"1.16","0.0","0.0",,"41","36",,"   40","   30","19.9","31.1","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-24","6.71",,"0.00","0.0","0.0",,"55","36",,"   40","  300","15.0","19.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-25","9.84",,"0.01","0.0","0.0",,"45","40",,"   50","   60","21.9","33.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-26","4.47",,"0.00","0.0","0.0",,"60","38",,"   50","  220","14.1","19.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-27","4.92",,"0.00","0.0","0.0",,"69","50",,"   60","   20","13.0","19.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-28","7.38",,"0.45","0.0","0.0",,"54","44",,"   70","   70","17.0","25.1","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-29","11.63",,"0.05","0.0","0.0",,"47","44",,"   60","   40","21.0","29.1","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-30","4.70",,"0.04","0.0","0.0",,"52","41",,"   50","   50","13.0","16.1","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-31","6.71",,"0.06","0.0","0.0",,"49","41",,"   50","   40","16.1","21.0","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-01","7.61",,"0.00","0.0","0.0",,"56","38",,"   50","   40","17.0","23.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-02","9.40",,"0.00","0.0","0.0",,"58","38",,"  300","  280","21.0","35.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-03","8.72",,"0.13","0.0","0.0",,"52","45",,"   10","   20","17.0","25.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-04","4.25",,"0.02","0.0","0.0",,"62","46",,"   40","   30","15.0","23.0","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-05","2.46",,"0.00","0.0","0.0",,"65","47",,"  140","  150","10.1","16.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-06","5.82",,"0.07","0.0","0.0",,"66","49",,"  310","  320","13.0","19.0","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-07","3.80",,"0.00","0.0","0.0",,"68","52",,"  150","  150","15.0","21.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-08","3.80",,"0.20","0.0","0.0",,"64","49",,"  350","  240","10.1","16.1","    1",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-09","7.83",,"0.12","0.0","0.0",,"59","43",,"  300","  300","23.9","38.9","    1",,"    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-10","10.07",,"0.01","0.0","0.0",,"49","37",,"  280","  290","25.1","38.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-11","8.95",,"0.00","0.0","0.0",,"56","38",,"  270","  300","18.1","25.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-12","5.82",,"0.00","0.0","0.0",,"63","44",,"  150","  150","16.1","25.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-13","7.83",,"1.92","0.0","0.0",,"67","53",,"  160","  200","18.1","38.0","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-14","6.26",,"0.00","0.0","0.0",,"60","47",,"  300","  280","15.0","23.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-15","6.26",,"0.00","0.0","0.0",,"54","42",,"  270","  270","14.1","25.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-16","9.17",,"0.00","0.0","0.0",,"50","38",,"  270","  280","17.0","30.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-17","5.37",,"0.07","0.0","0.0",,"51","36",,"  220","  220","14.1","21.9","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-18","5.82",,"0.22","0.0","0.0",,"46","41",,"  360","   10","14.1","19.9","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-19","7.38",,"0.00","0.0","0.0",,"63","40",,"  230","  200","15.0","25.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-20","4.70",,"0.00","0.0","0.0",,"57","48",,"   40","   50","13.0","21.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-21","7.16",,"0.18","0.0","0.0",,"61","39",,"  280","  280","23.0","36.0","    1",,"    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-22","8.05",,"0.00","0.0","0.0",,"51","36",,"  280","  260","19.9","31.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-23","3.80",,"0.13","0.0","0.0",,"52","40",,"   50","  110","8.9","15.0","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-24","7.16",,"0.48","0.0","0.0",,"49","42",,"   50","   70","17.0","28.0","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-25","3.36",,"0.00","0.0","0.0",,"65","44",,"  140","  160","14.1","19.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-26","10.51",,"0.22","0.0","0.0",,"51","42",,"   50","   50","25.9","40.0","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-27","7.38",,"0.00","0.0","0.0",,"50","39",,"  360","  360","16.1","23.9","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-28","3.80",,"0.00","0.0","0.0",,"67","41",,"  280","  270","12.1","19.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-29","6.71",,"0.01","0.0","0.0",,"59","47",,"   60","   80","16.1","23.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-30","9.17",,"0.71","0.0","0.0",,"60","49",,"  130","  160","18.1","36.0","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-01","3.80",,"0.21","0.0","0.0",,"66","53",,"  300","  300","14.1","23.0","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-02","6.04",,"0.00","0.0","0.0",,"73","51",,"  250","  280","15.0","23.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-03","5.59",,"0.04","0.0","0.0",,"80","54",,"  220","  220","14.1","21.0","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-04","5.82",,"0.00","0.0","0.0",,"75","50",,"  290","  310","18.1","36.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-05","6.71",,"0.00","0.0","0.0",,"63","46",,"  280","  250","14.1","21.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-06","5.59",,"0.06","0.0","0.0",,"52","45",,"   60","   60","14.1","19.9","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-07","6.04",,"0.00","0.0","0.0",,"67","46",,"  290","  250","14.1","23.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-08","4.25",,"0.45","0.0","0.0",,"57","36",,"  300","  310","15.0","25.9","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-09","8.95",,"0.03","0.0","0.0",,"48","34",,"  280","  280","21.0","36.0","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-10","7.38",,"0.00","0.0","0.0",,"64","39",,"  250","  230","18.1","29.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-11","5.82",,"0.05","0.0","0.0",,"61","44",,"  270","  240","19.9","36.0","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-12","7.83",,"0.00","0.0","0.0",,"59","43",,"  280","  260","17.0","29.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-13","5.37",,"0.00","0.0","0.0",,"64","41",,"  280","  280","13.0","23.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-14","2.24",,"0.00","0.0","0.0",,"67","47",,"  160","  130","10.1","19.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-15","4.92",,"0.07","0.0","0.0",,"84","60",,"  260","  220","14.1","23.0","    1",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-16","3.80",,"0.01","0.0","0.0",,"77","59",,"  150","  250","12.1","19.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-17","3.13",,"0.00","0.0","0.0",,"69","55",,"  130","  120","10.1","16.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-18",,,"0.00","0.0","0.0",,"70","54",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-19",,,"0.00","0.0","0.0",,"68","53",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-20",,,"0.00","0.0","0.0",,"66","49",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-21",,,"0.00","0.0","0.0",,"68","46",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-22",,,"0.03","0.0","0.0",,"77","54",,,,,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-23",,,"0.65","0.0","0.0",,"67","55",,,,,,"    1","    1","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-24",,,"0.00","0.0","0.0",,"67","52",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-25",,,"0.00","0.0","0.0",,"71","55",,,,,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-26",,,"0.00","0.0","0.0",,"78","58",,,,,,"    1",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-27",,,"0.00","0.0","0.0",,"79","60",,,,,,,,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-28",,,"0.00","0.0","0.0",,"76","64",,,,,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-29",,,"0.03","0.0","0.0",,"81","67",,,,,,"    1",,"    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-30",,,"0.02","0.0","0.0",,"81","67",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-31",,,"0.00","0.0","0.0",,"70","56",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-06-01",,,"0.00","0.0","0.0",,"70","51",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-06-02",,,"0.00","0.0","0.0",,"72","59",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-06-03",,,"0.45","0.0","0.0",,"79","60",,,,,,"    1",,"    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-06-04",,,"0.16","0.0","0.0",,"84","66",,,,,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-06-05",,,"0.26","0.0","0.0",,"79","69",,,,,,"    1",,"    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-06-06",,,"0.06","0.0","0.0",,"86","70",,,,,,"    1",,"    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-06-07",,,"0.00","0.0","0.0",,"76","63",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-06-08",,,"0.00","0.0","0.0",,"79","59",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-06-09",,,"0.00","0.0","0.0",,"87","65",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-06-10",,,"0.00","0.0","0.0",,"85","70",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-06-11",,,"0.05","0.0","0.0",,"84","70",,,,,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-06-12",,,"0.00","0.0","0.0",,"85","69",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-06-13",,,"0.00","0.0","0.0",,"75","59",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-06-14",,,"0.00","0.0","0.0",,"74","54",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-06-15",,,"0.00","0.0","0.0",,"75","59",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-06-16",,,"0.00","0.0","0.0",,"78","60",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-06-17",,,"0.00","0.0","0.0",,"78","60",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-06-18",,,"0.00","0.0","0.0",,"77","65",,,,,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-06-19","2.46",,"0.00","0.0","0.0",,"83","65",,"  220","  220","6.9","12.1","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-06-20","1.79",,"0.00","0.0","0.0",,"86","70",,"  210","  160","6.9","27.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-06-21","2.46",,"0.00","0.0","0.0",,"88","70",,"  200","  210","10.1","23.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-06-22","2.91",,"0.00","0.0","0.0",,"90","72",,"  170","  260","8.1","19.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-06-23","2.46",,"0.00","0.0","0.0",,"87","74",,"  170","  260","13.0","23.9","    1",,,,,,"    1"
